"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","218.80","219.19","220.30","216.12","32.74M","0.26%"
"07/29/2024","218.24","216.96","219.30","215.75","36.31M","0.13%"
"07/26/2024","217.96","218.70","219.49","216.01","41.60M","0.22%"
"07/25/2024","217.49","218.93","220.85","214.62","51.39M","-0.48%"
"07/24/2024","218.54","224.00","224.80","217.13","61.78M","-2.88%"
"07/23/2024","225.01","224.37","226.94","222.68","39.96M","0.47%"
"07/22/2024","223.96","227.01","227.78","223.09","48.20M","-0.16%"
"07/19/2024","224.31","224.82","226.80","223.27","49.15M","0.06%"
"07/18/2024","224.18","230.28","230.44","222.27","66.03M","-2.05%"
"07/17/2024","228.88","229.45","231.46","226.64","57.35M","-2.53%"
"07/16/2024","234.82","235.00","236.27","232.33","43.23M","0.18%"
"07/15/2024","234.40","236.48","237.23","233.09","62.63M","1.67%"
"07/12/2024","230.54","228.92","232.64","228.68","53.05M","1.31%"
"07/11/2024","227.57","231.39","232.39","225.77","64.71M","-2.32%"
"07/10/2024","232.98","229.30","233.08","229.25","62.63M","1.88%"
"07/09/2024","228.68","227.93","229.40","226.37","48.17M","0.38%"
"07/08/2024","227.82","227.09","227.85","223.25","59.09M","0.65%"
"07/05/2024","226.34","221.65","226.45","221.65","60.41M","2.16%"
"07/03/2024","221.55","220.00","221.55","219.03","37.37M","0.58%"
"07/02/2024","220.27","216.15","220.38","215.10","58.05M","1.62%"
"07/01/2024","216.75","212.09","217.51","211.92","60.40M","2.91%"
"06/28/2024","210.62","215.77","216.07","210.30","82.54M","-1.63%"
"06/27/2024","214.10","214.69","215.74","212.35","49.77M","0.40%"
"06/26/2024","213.25","211.50","214.86","210.64","66.21M","2.00%"
"06/25/2024","209.07","209.15","211.38","208.61","56.71M","0.45%"
"06/24/2024","208.14","207.72","212.70","206.59","80.73M","0.31%"
"06/21/2024","207.49","210.39","211.89","207.11","246.42M","-1.04%"
"06/20/2024","209.68","213.93","214.24","208.85","86.17M","-2.15%"
"06/18/2024","214.29","217.59","218.63","213.00","79.94M","-1.10%"
"06/17/2024","216.67","213.37","218.95","212.72","93.73M","1.97%"
"06/14/2024","212.49","213.85","215.17","211.30","70.12M","-0.82%"
"06/13/2024","214.24","214.74","216.75","211.60","97.86M","0.55%"
"06/12/2024","213.07","207.37","220.20","206.90","198.13M","2.86%"
"06/11/2024","207.15","193.65","207.16","193.63","172.37M","7.26%"
"06/10/2024","193.12","196.90","197.30","192.15","97.26M","-1.91%"
"06/07/2024","196.89","194.65","196.94","194.14","53.10M","1.24%"
"06/06/2024","194.48","195.68","196.50","194.17","41.18M","-0.71%"
"06/05/2024","195.87","195.40","196.90","194.87","54.16M","0.78%"
"06/04/2024","194.35","194.63","195.32","193.03","47.47M","0.16%"
"06/03/2024","194.03","192.90","194.99","192.52","50.08M","0.93%"
"05/31/2024","192.25","191.44","192.57","189.91","75.16M","0.50%"
"05/30/2024","191.29","190.76","192.18","190.63","49.95M","0.53%"
"05/29/2024","190.29","189.61","192.25","189.51","53.07M","0.16%"
"05/28/2024","189.99","191.51","193.00","189.10","52.28M","0.01%"
"05/24/2024","189.98","188.82","190.58","188.04","36.33M","1.66%"
"05/23/2024","186.88","190.98","191.00","186.63","51.01M","-2.11%"
"05/22/2024","190.90","192.26","192.82","190.27","34.65M","-0.75%"
"05/21/2024","192.35","191.09","192.73","190.92","42.31M","0.69%"
"05/20/2024","191.04","189.32","191.92","189.01","44.36M","0.62%"
"05/17/2024","189.87","189.51","190.81","189.18","41.28M","0.02%"
"05/16/2024","189.84","190.47","191.10","189.66","52.85M","0.06%"
"05/15/2024","189.72","187.91","190.65","187.37","70.40M","1.22%"
"05/14/2024","187.43","187.51","188.30","186.29","52.39M","0.62%"
"05/13/2024","186.28","185.43","187.10","184.62","72.04M","1.76%"
"05/10/2024","183.05","184.90","185.09","182.13","50.76M","-0.82%"
"05/09/2024","184.57","182.56","184.66","182.11","48.98M","1.00%"
"05/08/2024","182.74","182.85","183.07","181.45","45.06M","0.19%"
"05/07/2024","182.40","183.45","184.90","181.32","77.31M","0.38%"
"05/06/2024","181.71","182.35","184.20","180.42","78.57M","-0.91%"
"05/03/2024","183.38","186.65","187.00","182.66","163.22M","5.98%"
"05/02/2024","173.03","172.51","173.41","170.89","94.21M","2.20%"
"05/01/2024","169.30","169.58","172.71","169.11","50.38M","-0.60%"
"04/30/2024","170.33","173.33","174.99","170.00","65.93M","-1.83%"
"04/29/2024","173.50","173.37","176.03","173.10","68.17M","2.48%"
"04/26/2024","169.30","169.88","171.34","169.18","44.84M","-0.35%"
"04/25/2024","169.89","169.52","170.61","168.15","50.56M","0.51%"
"04/24/2024","169.02","166.54","169.30","166.21","48.25M","1.27%"
"04/23/2024","166.90","165.35","167.05","164.92","49.54M","0.64%"
"04/22/2024","165.84","165.51","167.26","164.77","48.12M","0.51%"
"04/19/2024","165.00","166.21","166.40","164.07","68.15M","-1.22%"
"04/18/2024","167.04","168.03","168.64","166.55","43.12M","-0.57%"
"04/17/2024","168.00","169.61","170.65","168.00","50.90M","-0.81%"
"04/16/2024","169.38","171.75","173.76","168.27","73.71M","-1.92%"
"04/15/2024","172.69","175.36","176.63","172.50","73.53M","-2.19%"
"04/12/2024","176.55","174.26","178.36","174.21","101.67M","0.86%"
"04/11/2024","175.04","168.34","175.46","168.16","91.07M","4.33%"
"04/10/2024","167.78","168.80","169.09","167.11","49.71M","-1.11%"
"04/09/2024","169.67","168.70","170.08","168.35","42.45M","0.72%"
"04/08/2024","168.45","169.03","169.20","168.24","37.43M","-0.67%"
"04/05/2024","169.58","169.59","170.39","168.95","42.10M","0.45%"
"04/04/2024","168.82","170.29","171.92","168.82","53.70M","-0.49%"
"04/03/2024","169.65","168.79","170.68","168.58","47.69M","0.48%"
"04/02/2024","168.84","169.08","169.34","168.23","49.33M","-0.70%"
"04/01/2024","170.03","171.19","171.25","169.48","46.24M","-0.85%"
"03/28/2024","171.48","171.75","172.23","170.51","65.67M","-1.06%"
"03/27/2024","173.31","170.41","173.60","170.11","60.27M","2.12%"
"03/26/2024","169.71","170.00","171.42","169.58","57.39M","-0.67%"
"03/25/2024","170.85","170.57","171.94","169.45","54.29M","-0.83%"
"03/22/2024","172.28","171.76","173.05","170.06","71.16M","0.53%"
"03/21/2024","171.37","177.05","177.49","170.84","106.18M","-4.09%"
"03/20/2024","178.67","175.72","178.67","175.09","53.42M","1.47%"
"03/19/2024","176.08","174.34","176.60","173.03","55.22M","1.36%"
"03/18/2024","173.72","175.57","177.71","173.52","75.60M","0.64%"
"03/15/2024","172.62","171.17","172.62","170.29","121.75M","-0.22%"
"03/14/2024","173.00","172.91","174.31","172.05","72.91M","1.09%"
"03/13/2024","171.13","172.77","173.18","170.76","52.49M","-1.21%"
"03/12/2024","173.23","173.15","174.03","171.01","59.83M","0.28%"
"03/11/2024","172.75","172.94","174.38","172.05","60.14M","1.18%"
"03/08/2024","170.73","169.00","173.70","168.94","76.27M","1.02%"
"03/07/2024","169.00","169.15","170.73","168.49","71.77M","-0.07%"
"03/06/2024","169.12","171.06","171.24","168.68","68.59M","-0.59%"
"03/05/2024","170.12","170.76","172.04","169.62","95.13M","-2.84%"
"03/04/2024","175.10","176.15","176.90","173.79","81.51M","-2.54%"
"03/01/2024","179.66","179.55","180.53","177.38","73.56M","-0.60%"
"02/29/2024","180.75","181.27","182.57","179.53","136.68M","-0.37%"
"02/28/2024","181.42","182.51","183.12","180.13","48.95M","-0.66%"
"02/27/2024","182.63","181.10","183.92","179.56","54.32M","0.81%"
"02/26/2024","181.16","182.24","182.76","180.65","40.87M","-0.75%"
"02/23/2024","182.52","185.01","185.04","182.23","45.12M","-1.00%"
"02/22/2024","184.37","183.48","184.96","182.46","52.29M","1.12%"
"02/21/2024","182.32","181.94","182.89","180.66","41.53M","0.42%"
"02/20/2024","181.56","181.79","182.43","180.00","53.67M","-0.41%"
"02/16/2024","182.31","183.42","184.85","181.66","49.75M","-0.84%"
"02/15/2024","183.86","183.55","184.49","181.35","65.43M","-0.16%"
"02/14/2024","184.15","185.32","185.53","182.44","54.63M","-0.48%"
"02/13/2024","185.04","185.77","186.21","183.51","56.53M","-1.13%"
"02/12/2024","187.15","188.41","188.67","186.79","41.78M","-0.90%"
"02/09/2024","188.85","188.65","189.99","188.00","45.16M","0.28%"
"02/08/2024","188.32","189.38","189.54","187.35","40.96M","-0.58%"
"02/07/2024","189.41","190.64","191.05","188.61","53.44M","0.06%"
"02/06/2024","189.30","186.86","189.31","186.77","43.49M","0.86%"
"02/05/2024","187.68","188.15","189.25","185.84","69.67M","0.98%"
"02/02/2024","185.85","179.86","187.33","179.25","102.55M","-0.54%"
"02/01/2024","186.86","183.99","186.95","183.82","64.89M","1.33%"
"01/31/2024","184.40","187.04","187.10","184.35","55.47M","-1.94%"
"01/30/2024","188.04","190.94","191.80","187.47","55.86M","-1.92%"
"01/29/2024","191.73","192.01","192.20","189.58","47.15M","-0.36%"
"01/26/2024","192.42","194.27","194.76","191.94","44.59M","-0.90%"
"01/25/2024","194.17","195.22","196.27","193.11","54.82M","-0.17%"
"01/24/2024","194.50","195.42","196.38","194.34","53.63M","-0.35%"
"01/23/2024","195.18","195.02","195.75","193.83","42.36M","0.67%"
"01/22/2024","193.89","192.30","195.33","192.26","60.13M","1.22%"
"01/19/2024","191.56","189.33","191.95","188.82","68.90M","1.55%"
"01/18/2024","188.63","186.09","189.14","185.83","78.01M","3.26%"
"01/17/2024","182.68","181.27","182.93","180.30","47.32M","-0.52%"
"01/16/2024","183.63","182.16","184.26","180.93","65.60M","-1.23%"
"01/12/2024","185.92","186.06","186.74","185.19","40.48M","0.18%"
"01/11/2024","185.59","186.54","187.05","183.62","49.13M","-0.32%"
"01/10/2024","186.19","184.35","186.40","183.92","46.79M","0.57%"
"01/09/2024","185.14","183.92","185.15","182.73","42.84M","-0.23%"
"01/08/2024","185.56","182.09","185.60","181.50","59.14M","2.42%"
"01/05/2024","181.18","181.99","182.76","180.17","62.38M","-0.40%"
"01/04/2024","181.91","182.15","183.09","180.88","71.98M","-1.27%"
"01/03/2024","184.25","184.22","185.88","183.43","58.41M","-0.75%"
"01/02/2024","185.64","187.15","188.44","183.88","82.49M","-3.58%"
"12/29/2023","192.53","193.90","194.40","191.73","42.67M","-0.54%"
"12/28/2023","193.58","194.14","194.66","193.17","34.05M","0.22%"
"12/27/2023","193.15","192.49","193.50","191.09","48.09M","0.05%"
"12/26/2023","193.05","193.61","193.89","192.83","28.92M","-0.28%"
"12/22/2023","193.60","195.18","195.41","192.97","37.15M","-0.55%"
"12/21/2023","194.68","196.10","197.08","193.50","46.48M","-0.08%"
"12/20/2023","194.83","196.90","197.68","194.83","52.24M","-1.07%"
"12/19/2023","196.94","196.16","196.95","195.89","40.71M","0.54%"
"12/18/2023","195.89","196.09","196.63","194.39","55.75M","-0.85%"
"12/15/2023","197.57","197.53","198.40","197.00","128.54M","-0.27%"
"12/14/2023","198.11","198.02","199.62","196.16","66.83M","0.08%"
"12/13/2023","197.96","195.09","198.00","194.85","70.40M","1.67%"
"12/12/2023","194.71","193.08","194.72","191.72","52.70M","0.79%"
"12/11/2023","193.18","193.11","193.49","191.42","60.94M","-1.29%"
"12/08/2023","195.71","194.20","195.99","193.67","53.41M","0.74%"
"12/07/2023","194.27","193.63","195.00","193.59","47.48M","1.01%"
"12/06/2023","192.32","194.45","194.76","192.11","41.09M","-0.57%"
"12/05/2023","193.42","190.21","194.40","190.18","66.63M","2.11%"
"12/04/2023","189.43","189.98","190.05","187.45","43.39M","-0.95%"
"12/01/2023","191.24","190.33","191.56","189.23","45.70M","0.68%"
"11/30/2023","189.95","189.84","190.32","188.19","48.79M","0.31%"
"11/29/2023","189.37","190.90","192.09","188.97","43.01M","-0.54%"
"11/28/2023","190.40","189.78","191.08","189.40","38.42M","0.32%"
"11/27/2023","189.79","189.92","190.67","188.90","40.55M","-0.09%"
"11/24/2023","189.97","190.87","190.90","189.25","24.05M","-0.70%"
"11/22/2023","191.31","191.49","192.93","190.82","39.63M","0.35%"
"11/21/2023","190.64","191.41","191.52","189.74","38.13M","-0.42%"
"11/20/2023","191.45","189.89","191.90","189.88","46.54M","0.93%"
"11/17/2023","189.69","190.25","190.38","188.57","50.94M","-0.01%"
"11/16/2023","189.71","189.57","190.96","188.65","54.41M","0.90%"
"11/15/2023","188.01","187.85","189.50","187.78","53.79M","0.30%"
"11/14/2023","187.44","187.70","188.11","186.30","60.11M","1.43%"
"11/13/2023","184.80","185.82","186.03","184.21","43.63M","-0.86%"
"11/10/2023","186.40","183.97","186.57","183.53","66.18M","2.19%"
"11/09/2023","182.41","182.96","184.12","181.81","53.76M","-0.26%"
"11/08/2023","182.89","182.35","183.45","181.59","49.34M","0.59%"
"11/07/2023","181.82","179.18","182.44","178.97","70.53M","1.45%"
"11/06/2023","179.23","176.38","179.43","176.21","63.84M","1.46%"
"11/03/2023","176.65","174.24","176.82","173.35","79.83M","-0.52%"
"11/02/2023","177.57","175.52","177.78","175.46","77.33M","2.07%"
"11/01/2023","173.97","171.00","174.23","170.12","56.93M","1.87%"
"10/31/2023","170.77","169.35","170.90","167.90","44.85M","0.28%"
"10/30/2023","170.29","169.02","171.17","168.87","51.13M","1.23%"
"10/27/2023","168.22","166.91","168.96","166.83","58.50M","0.80%"
"10/26/2023","166.89","170.37","171.38","165.67","70.63M","-2.46%"
"10/25/2023","171.10","171.88","173.06","170.65","57.16M","-1.35%"
"10/24/2023","173.44","173.05","173.67","171.45","43.82M","0.25%"
"10/23/2023","173.00","170.91","174.01","169.93","55.98M","0.07%"
"10/20/2023","172.88","175.31","175.42","172.64","64.24M","-1.47%"
"10/19/2023","175.46","176.04","177.84","175.19","59.30M","-0.22%"
"10/18/2023","175.84","175.58","177.57","175.11","54.76M","-0.74%"
"10/17/2023","177.15","176.65","178.42","174.80","57.55M","-0.88%"
"10/16/2023","178.72","176.75","179.07","176.51","52.52M","-0.07%"
"10/13/2023","178.85","181.42","181.93","178.14","51.46M","-1.03%"
"10/12/2023","180.71","180.07","182.34","179.04","56.74M","0.51%"
"10/11/2023","179.80","178.20","179.85","177.60","47.55M","0.79%"
"10/10/2023","178.39","178.10","179.72","177.95","43.70M","-0.34%"
"10/09/2023","178.99","176.81","179.05","175.80","42.39M","0.85%"
"10/06/2023","177.49","173.80","177.99","173.18","57.27M","1.48%"
"10/05/2023","174.91","173.79","175.45","172.68","48.53M","0.72%"
"10/04/2023","173.66","171.09","174.21","170.97","53.02M","0.73%"
"10/03/2023","172.40","172.26","173.63","170.82","49.59M","-0.78%"
"10/02/2023","173.75","171.22","174.30","170.93","52.16M","1.48%"
"09/29/2023","171.21","172.02","173.07","170.34","51.86M","0.30%"
"09/28/2023","170.69","169.34","172.03","167.62","56.29M","0.15%"
"09/27/2023","170.43","172.62","173.04","169.05","66.92M","-0.89%"
"09/26/2023","171.96","174.82","175.20","171.66","64.59M","-2.34%"
"09/25/2023","176.08","174.20","176.97","174.15","46.17M","0.74%"
"09/22/2023","174.79","174.67","177.08","174.05","56.73M","0.49%"
"09/21/2023","173.93","174.55","176.30","173.86","63.15M","-0.89%"
"09/20/2023","175.49","179.26","179.70","175.40","58.44M","-2.00%"
"09/19/2023","179.07","177.52","179.63","177.13","51.83M","0.62%"
"09/18/2023","177.97","176.48","179.38","176.17","67.26M","1.69%"
"09/15/2023","175.01","176.48","176.49","173.82","109.26M","-0.42%"
"09/14/2023","175.74","174.00","176.10","173.58","60.90M","0.88%"
"09/13/2023","174.21","176.51","177.30","173.98","84.27M","-1.19%"
"09/12/2023","176.30","179.49","180.13","174.82","90.37M","-1.71%"
"09/11/2023","179.36","180.07","180.30","177.34","58.95M","0.66%"
"09/08/2023","178.18","178.35","180.24","177.79","65.60M","0.35%"
"09/07/2023","177.56","175.18","178.21","173.54","112.49M","-2.92%"
"09/06/2023","182.91","188.40","188.85","181.47","81.76M","-3.58%"
"09/05/2023","189.70","188.28","189.98","187.61","45.28M","0.13%"
"09/01/2023","189.46","189.49","189.92","188.28","45.77M","0.85%"
"08/31/2023","187.87","187.84","189.12","187.48","60.79M","0.12%"
"08/30/2023","187.65","184.94","187.85","184.74","60.81M","1.92%"
"08/29/2023","184.12","179.70","184.90","179.50","53.00M","2.18%"
"08/28/2023","180.19","180.09","180.59","178.54","43.82M","0.88%"
"08/25/2023","178.61","177.38","179.15","175.82","51.45M","1.26%"
"08/24/2023","176.38","180.67","181.10","176.01","54.95M","-2.62%"
"08/23/2023","181.12","178.52","181.55","178.32","52.72M","2.19%"
"08/22/2023","177.23","177.06","177.68","176.25","42.08M","0.79%"
"08/21/2023","175.84","175.07","176.13","173.74","46.31M","0.77%"
"08/18/2023","174.49","172.30","175.10","171.96","61.17M","0.28%"
"08/17/2023","174.00","177.14","177.51","173.48","66.06M","-1.46%"
"08/16/2023","176.57","177.13","178.54","176.50","46.96M","-0.50%"
"08/15/2023","177.45","178.88","179.48","177.05","43.62M","-1.12%"
"08/14/2023","179.46","177.97","179.69","177.30","43.68M","0.94%"
"08/11/2023","177.79","177.32","178.62","176.55","52.04M","-0.10%"
"08/10/2023","177.97","179.48","180.75","177.60","54.69M","-0.12%"
"08/09/2023","178.19","180.87","180.93","177.01","60.38M","-0.90%"
